End-Uses,Substitute,Trade Name,"Retrofit/New",ODP,GWP,ASHRAE Designation (Safety Classification),SNAP Listing Date,Listing Status,Further Information
Refrigerated Transport,GHG-X4,"GHG-X4, Autofrost, Chill-it",R/N,0.045,"1,478",A1,"September 5, 1996",Acceptable,
Refrigerated Transport,Hot Shot,"Hot Shot, Kar Kool",R/N,0.098,"3,337",A1,"September 5, 1996",Acceptable,
Remote Condensing Units,Free Zone (HCFC Blend Delta),Free Zone / RB-276,R/N,0.013,"1,592",A1,"September 5, 1996",Acceptable,
Remote Condensing Units,Freeze 12,Freeze 12,R/N,0.013,"1,606",A1,"September 5, 1996",Acceptable,
Remote Condensing Units,G2018C,G2018C,R/N,0.053,"1,731",A1,"September 5, 1996",Acceptable,
Remote Condensing Units,GHG-X4,"GHG-X4, Autofrost, Chill-it",R/N,0.045,"1,478",A1,"September 5, 1996",Acceptable,
Remote Condensing Units,Hot Shot,"Hot Shot, Kar Kool",R/N,0.098,"3,337",A1,"September 5, 1996",Acceptable,
Residential and Light Commercial Air Conditioning and Heat Pumps ,Ammonia Absorption,,N,0,0,B2,"September 5, 1996",Acceptable,
Residential and Light Commercial Air Conditioning and Heat Pumps ,Evaporative Cooling,,N,0,N/A,N/A,"September 5, 1996",Acceptable,
Residential Dehumidifiers,Free Zone (HCFC Blend Delta),Free Zone/ RB-276,R/N,0.013,"1,592",A1,"September 5, 1996",Acceptable,
Residential Dehumidifiers,Freeze 12,Freeze 12,R/N,0.013,"1,606",A1,"September 5, 1996",Acceptable,
Residential Dehumidifiers,GHG-X4,"GHG-X4, Autofrost, Chill-it",R/N,0.045,"1,478",A1,"September 5, 1996",Acceptable,
Residential Dehumidifiers,Hot Shot,"Hot Shot, Kar Kool",R/N,0.098,"3,337",A1,"September 5, 1996",Acceptable,
