End-Uses,Substitute,Trade Name,"Retrofit/New",ODP,GWP,ASHRAE Designation (Safety Classification),SNAP Listing Date,Listing Status,Further Information
Cold Storage Warehouses,R-410A,"AZ-20, Suva 9100, Puron",N,0,"2,090",A1,"February 8, 1996; December 20, 2002; December 1, 2016","Unacceptable in new equipment as of January 1, 2023.",
Household Refrigerators and Freezers,R-410A,"AZ-20, Suva 9100, Puron",N,0,"2,090",A1,"February 8, 1996; December 20, 2002; December 1, 2016","Unacceptable in new equipment as of January 1, 2021.",
Positive Displacement Chillers,R-410A,"AZ-20, Suva 9100, Puron",N,0,"2,090",A1,"February 8, 1996; December 20, 2002; December 1, 2016","Unacceptable in new equipment, except as otherwise allowed under a narrowed use limit, as of January 1, 2024.",Not originally listed under scroll chillers.
Refrigerated Food Processing and Dispensing Equipment,R-410A,"AZ-20, Suva 9100, Puron",N,0,"2,090",A1,"February 8, 1996; December 20, 2002; December 1, 2016","Unacceptable in new equipment as of January 1, 2021.",
Stand-Alone Equipment,R-410A,"AZ-20, Suva 9100, Puron",N,0,"2,090",A1,"February 8, 1996; December 20, 2002; July 20, 2015","Unacceptable in: 
• new Stand-Alone Medium-Temperature Units with a compressor capacity below 2,200 Btu/hour and not containing a flooded evaporator as of January 1, 2019. 
• new Stand-Alone Medium-Temperature Units with a compressor capacity equal to or greater than 2,200 Btu/hour and Stand-Alone Medium-Temperature Units containing a flooded evaporator as of January 1, 2020. 
• new Stand-Alone Low-Temperature Units as of January 1, 2020.",
Vending Machines,R-410A,"AZ-20, Suva 9100, Puron",N,0,"2,090",A1,"February 8, 1996; December 20, 2002; July 20, 2015","Unacceptable in new equipment as of January 1, 2019.",
Cold Storage Warehouses,FRIGC FR-12 (HCFC Blend Beta),FRIGC FR-12,R/N,0.009,"1,081",A1,"February 8, 1996; February 24, 1998",Acceptable,
Commerical Ice Machines,FRIGC FR-12 (HCFC Blend Beta),FRIGC FR-12,R/N,0.009,"1,081",A1,"February 8, 1996; February 24, 1998",Acceptable,
Industrial Process Refrigeration,FRIGC FR-12 (HCFC Blend Beta),FRIGC FR-12,R/N,0.009,"1,081",A1,"February 8, 1996; February 24, 1998",Acceptable,
Positive Displacement Chillers,FRIGC FR-12 (HCFC Blend Beta),FRIGC FR-12,R/N,0.009,"1,081",A1,"February 8, 1996; February 24, 1998",Acceptable,Originally listed under reciprocating chillers only. 
Remote Condensing Units,FRIGC FR-12 (HCFC Blend Beta),FRIGC FR-12,R/N,0.009,"1,081",A1,"February 8, 1996; February 24, 1998",Acceptable,
Residential Dehumidifiers,FRIGC FR-12 (HCFC Blend Beta),FRIGC FR-12,R/N,0.009,"1,081",A1,"February 8, 1996; February 24, 1998",Acceptable,
Stand-Alone Equipment,FRIGC FR-12 (HCFC Blend Beta),FRIGC FR-12,R/N,0.009,"1,081",A1,"February 8, 1996; February 24, 1998",Acceptable,
Supermarket Systems,FRIGC FR-12 (HCFC Blend Beta),FRIGC FR-12,R/N,0.009,"1,081",A1,"February 8, 1996; February 24, 1998",Acceptable,
Supermarket Systems,FRIGC FR-12 (HCFC Blend Beta),FRIGC FR-12,R/N,0.009,"1,081",A1,"February 8, 1996; February 24, 1998",Acceptable,
Vending Machines,FRIGC FR-12 (HCFC Blend Beta),FRIGC FR-12,R/N,0.009,"1,081",A1,"February 8, 1996; February 24, 1998",Acceptable,
Water Coolers,FRIGC FR-12 (HCFC Blend Beta),FRIGC FR-12,R/N,0.009,"1,081",A1,"February 8, 1996; February 24, 1998",Acceptable,
Ice Skating Rinks,R-410B,,N,0,"2,230",A1,"February 8, 1996; June 16, 2010",Acceptable,
Industrial Process Refrigeration,R-410B,,N,0,"2,230",A1,"February 8, 1996; June 16, 2010",Acceptable,
Remote Condensing Units,R-410B,,N,0,"2,230",A1,"February 8, 1996; June 16, 2010",Acceptable,
Supermarket Systems,R-410B,,N,0,"2,230",A1,"February 8, 1996; June 16, 2010",Acceptable,
Centrifugal Chillers,R-422C,ICOR XLT1,R/N,0,"3,390",A1,"March 29, 2006; June 16, 2010; December 1, 2016","Unacceptable in new equipment, except as otherwise allowed under a narrowed use limit, as of January 1, 2024.",
Positive Displacement Chillers,R-410B,,N,0,"2,230",A1,"February 8, 1996; June 16, 2010; December 1, 2016","Unacceptable in new equipment, except as otherwise allowed under a narrowed use limit, as of January 1, 2024.",Not originally listed under scroll chillers.
Refrigerated Food Processing and Dispensing Equipment,R-410B,,N,0,"2,230",A1,"February 8, 1996; June 16, 2010; December 1, 2016","Unacceptable in new equipment as of January 1, 2021.",
Stand-Alone Equipment,R-410B,,N,0,"2,230",A1,"February 8, 1996; June 16, 2010; July 20, 2015","Unacceptable in: 
• new Stand-Alone Medium-Temperature Units with a compressor capacity below 2,200 Btu/hour and not containing a flooded evaporator as of January 1, 2019. 
• new Stand-Alone Medium-Temperature Units with a compressor capacity equal to or greater than 2,200 Btu/hour and Stand-Alone Medium-Temperature Units containing a flooded evaporator as of January 1, 2020. 
• new Stand-Alone Low-Temperature Units as of January 1, 2020.",
Vending Machines,R-410B,,R/N,0,"2,230",A1,"February 8, 1996; June 16, 2010; July 20, 2015","Unacceptable in new equipment as of January 1, 2019.",
Industrial Process Refrigeration,HC Blend B,Original formulation of HC-12a,R/N,0,4,A3,"January 13 1995; June 16, 2010",Acceptable,
Household Refrigerators and Freezers,"R-507, R-507A",AZ-50,R/N,0,"3,990",A1,"January 13, 1995; December 20, 2002; December 1, 2016","Unacceptable in new equipment as of January 1, 2021.",
Industrial Process Air Conditioning,HFC-134a,134a,N,0,"1,430",A1,"January 13, 1995; June 16, 2010",Acceptable,Applicable to new uses below 125°F ambient.
Industrial Process Refrigeration,"R-744 (Carbon Dioxide, CO2)",,R/N,0,1,A1,"January 13, 1995; June 16, 2010",Acceptable,
Non-Mechanical Heat Transfer Systems,"R-744 (Carbon Dioxide, CO2)",,R/N,0,1,A1,"January 13, 1995; June 16, 2010",Acceptable,
Very Low Temperature Refrigeration Systems,"R-744 (Carbon Dioxide, CO2)",,R/N,0,1,A1,"January 13, 1995; June 16, 2010",Acceptable,
Very Low Temperature Refrigeration Systems,R-1150 (Ethylene), ,N,0,3.7,A3,"April 28, 2023",Acceptable with Use Conditions and Narrowed Use Limits: See rule for detailed conditions.,
Household Refrigerators and Freezers,R-437A,"KDD6, ISCEON MO49 Plus",R/N,0,"1,810",A1,"January 2, 2009; December 1, 2016","Unacceptable in new equipment as of January 1, 2021.",
Positive Displacement Chillers,R-437A,"KDD6, ISCEON MO49 Plus",R/N,0,"1,810",A1,"January 2, 2009; December 1, 2016","Unacceptable in new equipment, except as otherwise allowed under a narrowed use limit, as of January 1, 2024.",Not originally listed under scroll chillers.
Refrigerated Food Processing and Dispensing Equipment,R-437A,"KDD6, ISCEON MO49 Plus",R/N,0,"1,810",A1,"January 2, 2009; December 1, 2016","Unacceptable in new equipment as of January 1, 2021.",
Stand-Alone Equipment,R-437A,"KDD6, ISCEON MO49 Plus",R/N,0,"1,810",A1,"January 2, 2009; July 20, 2015","Unacceptable in: 
• new Stand-Alone Medium-Temperature Units with a compressor capacity below 2,200 Btu/hour and not containing a flooded evaporator as of January 1, 2019. 
• new Stand-Alone Medium-Temperature Units with a compressor capacity equal to or greater than 2,200 Btu/hour and Stand-Alone Medium-Temperature Units containing a flooded evaporator as of January 1, 2020. 
• new Stand-Alone Low-Temperature Units as of January 1, 2020.",
Vending Machines,R-437A,"KDD6, ISCEON MO49 Plus",R/N,0,"1,810",A1,"January 2, 2009; July 20, 2015","Unacceptable in new equipment as of January 1, 2019.",
Passenger Air Conditioning in Buses and Trains,R-424A,RS-44,R/N,0,"2,440",A1,"January 2, 2009; June 16, 2010",Acceptable,
Passenger Air Conditioning in Buses and Trains,R-427A,Forane 427A,R,0,"2,140",A1,"January 2, 2009; June 16, 2010",Acceptable,
Passenger Air Conditioning in Buses and Trains,R-434A,RS-45,R/N,0,"3,250",A1,"January 2, 2009; June 16, 2010",Acceptable,
Positive Displacement Chillers,R-427A,Forane 427A,R,0,"2,140",A1,"January 2, 2009; June 16, 2010",Acceptable,Not originally listed under scroll chillers.
Refrigerated Food Processing and Dispensing Equipment,R-427A,Forane 427A,R,0,"2,140",A1,"January 2, 2009; June 16, 2010",Acceptable,
Remote Condensing Units,R-427A,Forane 427A,R,0,"2,140",A1,"January 2, 2009; June 16, 2010",Acceptable,
Residential and Light Commercial Air Conditioning and Heat Pumps ,R-437A,"KDD6, ISCEON MO49 Plus",R/N,0,"1,810",A1,"January 2, 2009; June 16, 2010",Acceptable,
Residential Dehumidifiers,R-437A,"KDD6, ISCEON MO49 Plus",R/N,0,"1,810",A1,"January 2, 2009; June 16, 2010",Acceptable,
Stand-Alone Equipment,R-427A,Forane 427A,R,0,"2,140",A1,"January 2, 2009; June 16, 2010",Acceptable,
Supermarket Systems,R-427A,Forane 427A,R,0,"2,140",A1,"January 2, 2009; June 16, 2010",Acceptable,
Stand-Alone Equipment,R-448A,Solstice® N-40,R/N,0,"1,390",A1,"July 16, 2015; May 6, 2021","Acceptable: Low temperature (i.e., temperatures at or below 32°F (0 °C)) stand-alone equipment only.
Acceptable with Narrowed Use Limits: New medium- temperature (i.e., temperatures above 32°F (0 °C)) stand-alone equipment only. See May 6, 2021 rule for detailed use limits.",
Stand-Alone Equipment,R-449A,Opteon™ XP 40,R/N,0,"1,400",A1,"July 16, 2015; May 6, 2021","Acceptable: Low temperature (i.e., temperatures at or below 32°F (0 °C)) stand-alone equipment only.
Acceptable with Narrowed Use Limits: New medium- temperature (i.e., temperatures above 32°F (0 °C)) stand-alone equipment only. See May 6, 2021 rule for detailed use limits.",
Non-Mechanical Heat Transfer Systems,Volatile Methyl Siloxanes,,R/N,0,< 20,N/A,"July 28, 1995; June 16, 2010",Acceptable,
Non-Mechanical Heat Transfer Systems,Water,,R/N,0,N/A,A1,"July 28, 1995; June 16, 2010",Acceptable,
Household Refrigerators and Freezers,Ammonia Absorption,,R/N,0,0,B2,"July 28, 1995; September 5, 1996",Acceptable,
"Passenger Air Conditioning in Light-Duty, Medium-Duty, Heavy-Duty and Off-Road Vehicles",R-416A ,"FRIGC FR-12, HCFC Blend Beta",R/N,0.009,"1,081",A1,"June 13, 1995; July 20, 2015",Unacceptable as of MY 2017. Detailed conditions apply - see rule.,
Centrifugal Chillers,R-422D,ISCEON MO29,R/N,0,"2,730",A1,"September 28, 2006; June 16, 2010; December 1, 2016","Unacceptable in new equipment, except as otherwise allowed under a narrowed use limit, as of January 1, 2024.",
Centrifugal Chillers,R-423A,ISCEON 39TC,R/N,0,"2,280",A1,"March 22, 2002; June 16, 2010; December 1, 2016","Unacceptable in new equipment, except as otherwise allowed under a narrowed use limit, as of January 1, 2024.",
Cold Storage Warehouses,R-438A,"KDD5, ISCEON MO99",R/N,0,"2,270",A1,"June 16, 2010; December 1, 2016","Unacceptable in new equipment as of January 1, 2023.",
Cold Storage Warehouses,RS-44 (2003 formulation),,R/N,0,"2,420",A1,"June 16, 2010; December 1, 2016","Unacceptable in new equipment as of January 1, 2023.",
Positive Displacement Chillers,R-125/R-134a/R-600a (28.1/70.0/1.9),NU-22 old composition,R/N,0,"1,990",A1,"June 16, 2010; December 1, 2016","Unacceptable in new equipment, except as otherwise allowed under a narrowed use limit, as of January 1, 2024.",Not originally listed under scroll chillers.
Positive Displacement Chillers,RS-44 (2003 formulation),,R/N,0,"2,420",A1,"June 16, 2010; December 1, 2016","Unacceptable in new equipment, except as otherwise allowed under a narrowed use limit, as of January 1, 2024.",Not originally listed under scroll chillers.
Refrigerated Food Processing and Dispensing Equipment,R-125/R-290/R-134a/R-600a (55.0/1.0/42.5/1.5),ICOR AT-22,R/N,0,"2,530",A1,"June 16, 2010; December 1, 2016","Unacceptable in new equipment as of January 1, 2021.",
Refrigerated Food Processing and Dispensing Equipment,RS-44 (2003 formulation),,R/N,0,"2,420",A1,"June 16, 2010; December 1, 2016","Unacceptable in new equipment as of January 1, 2021.",
Stand-Alone Equipment,R-125/R-290/R-134a/R-600a (55.0/1.0/42.5/1.5),ICOR AT-22,R/N,0,"2,530",A1,"June 16, 2010; July 20, 2015","Unacceptable in: 
• new Stand-Alone Medium-Temperature Units with a compressor capacity below 2,200 Btu/hour and not containing a flooded evaporator as of January 1, 2019. 
• new Stand-Alone Medium-Temperature Units with a compressor capacity equal to or greater than 2,200 Btu/hour and Stand-Alone Medium-Temperature Units containing a flooded evaporator as of January 1, 2020. 
• new Stand-Alone Low-Temperature Units as of January 1, 2020.",
Stand-Alone Equipment,RS-44 (2003 formulation),,R/N,0,"2,420",A1,"June 16, 2010; July 20, 2015","Unacceptable in: 
• new Stand-Alone Medium-Temperature Units with a compressor capacity below 2,200 Btu/hour and not containing a flooded evaporator as of January 1, 2019. 
• new Stand-Alone Medium-Temperature Units with a compressor capacity equal to or greater than 2,200 Btu/hour and Stand-Alone Medium-Temperature Units containing a flooded evaporator as of January 1, 2020. 
• new Stand-Alone Low-Temperature Units as of January 1, 2020.",
Residential and Light Commercial Air Conditioning and Heat Pumps ,HFC-134a,134a,R/N,0,"1,430",A1,"June 16, 2010; July 21, 2017",Acceptable,
"Passenger Air Conditioning in Light-Duty, Medium-Duty, Heavy-Duty and Off-Road Vehicles",GHG-X5,GHG-X5,R/N,0.032,"2,377",A1,"June 3, 1997; July 20, 2015",Unacceptable as of MY 2017. Detailed conditions apply - see notice.,
Non-Mechanical Heat Transfer Systems,HFE-7100,,R/N,0,297,A1,"June 8, 1999; June 16, 2010",Acceptable: Only acceptable for use as a secondary heat transfer fluid in not-in-kind systems.,
Household Refrigerators and Freezers,HFC-134a,134a,R/N,0,"1,430",A1,"March 18, 1994; December 1, 2016","Unacceptable in new equipment as of January 1, 2021.",
Refrigerated Food Processing and Dispensing Equipment,HFC-227ea,,N,0,"3,220",A1,"March 18, 1994; December 1, 2016","Unacceptable in new equipment as of January 1, 2021.",
Commerical Ice Machines,R-404A,HP-62,R/N,0,"3,920",A1,"March 18, 1994; December 20, 2002",Acceptable,
Refrigerated Transport,R-404A,HP-62,R/N,0,"3,920",A1,"March 18, 1994; December 20, 2002",Acceptable,
Cold Storage Warehouses,R-404A,HP-62,R/N,0,"3,920",A1,"March 18, 1994; December 20, 2002; December 1, 2016","Unacceptable in new equipment as of January 1, 2023.",
Refrigerated Food Processing and Dispensing Equipment,R-404A,HP-62,R/N,0,"3,920",A1,"March 18, 1994; December 20, 2002; December 1, 2016","Unacceptable in new equipment as of January 1, 2021.",
Remote Condensing Units,R-404A,HP-62,R/N,0,"3,920",A1,"March 18, 1994; December 20, 2002; July 20, 2015","Unacceptable in:
• retrofit equipment as of July 20, 2016. 
• new equipment as of January 1, 2018.",
Stand-Alone Equipment,R-404A,HP-62,R/N,0,"3,920",A1,"March 18, 1994; December 20, 2002; July 20, 2015","Unacceptable in:
• retrofit equipment as of July 20, 2016. 
• new Stand-Alone Medium-Temperature Units with a compressor capacity below 2,200 Btu/hour and not containing a flooded evaporator as of January 1, 2019. 
• new Stand-Alone Medium-Temperature Units with a compressor capacity equal to or greater than 2,200 Btu/hour and Stand-Alone Medium-Temperature Units containing a flooded evaporator as of January 1, 2020.
• new Stand-Alone Low-Temperature Units as of January 1, 2020.",
Supermarket Systems,R-404A,HP-62,R/N,0,"3,920",A1,"March 18, 1994; December 20, 2002; July 20, 2015","Unacceptable in: 
• retrofit equipment as of July 20, 2016. 
• new equipment as of January 1, 2017.",
Refrigerated Food Processing and Dispensing Equipment,"R-507, R-507A",AZ-50,R/N,0,"3,990",A1,"March 18, 1994; December 20, 2002; September 30, 2009; December 1, 2016","Unacceptable in new equipment as of January 1, 2021.",
Remote Condensing Units,"R-507, R-507A",AZ-50,R/N,0,"3,990",A1,"March 18, 1994; December 20, 2002; September 30, 2009; July 20, 2015","Unacceptable in:
• retrofit equipment as of July 20, 2016. 
• new equipment as of January 1, 2018.",
Stand-Alone Equipment,"R-507, R-507A",AZ-50,R/N,0,"3,990",A1,"March 18, 1994; December 20, 2002; September 30, 2009; July 20, 2015","Unacceptable in:
• retrofit equipment as of July 20, 2016. 
• new Stand-Alone Medium-Temperature Units with a compressor capacity below 2,200 Btu/hour and not containing a flooded evaporator as of January 1, 2019. 
• new Stand-Alone Medium-Temperature Units with a compressor capacity equal to or greater than 2,200 Btu/hour and Stand-Alone Medium-Temperature Units containing a flooded evaporator as of January 1, 2020.
• new Stand-Alone Low-Temperature Units as of January 1, 2020.",
Supermarket Systems,"R-507, R-507A",AZ-50,R/N,0,"3,990",A1,"March 18, 1994; December 20, 2002; September 30, 2009; July 20, 2015","Unacceptable in:
• retrofit equipment as of July 20, 2016. 
• new equipment as of January 1, 2017.",
Household Refrigerators and Freezers,R-404A,HP-62,R/N,0,"3,920",A1,"March 18, 1994; January 13, 1995; December 20, 2002; December 1, 2016","Unacceptable in new equipment as of January 1, 2021.",
"Passenger Air Conditioning in Light-Duty, Medium-Duty, Heavy-Duty and Off-Road Vehicles",HFC-134a,134a,R/N,0,"1,430",A1,"March 18, 1994; July 20, 2015","Unacceptable as of Model Year (MY) 2021, except where allowed under a narrowed use limit through MY 2025. 
Acceptable, subject to narrowed use limits, for vehicles exported to countries with insufficient servicing infrastructure to support other alternatives, for MY 2021 through MY 2025. 
Unacceptable for all newly manufactured vehicles as of MY 2026. Detailed conditions apply - see rule.",
Remote Condensing Units,HFC-227ea,,N,0,"3,220",A1,"March 18, 1994; July 20, 2015","Unacceptable in new equipment as of January 1, 2017.",
Stand-Alone Equipment,HFC-134a,134a,R/N,0,"1,430",A1,"March 18, 1994; July 20, 2015","Unacceptable in:
• new Stand-Alone Medium-Temperature Units with a compressor capacity below 2,200 Btu/hour and not containing a flooded evaporator as of January 1, 2019. 
• new Stand-Alone Medium-Temperature Units with a compressor capacity equal to or greater than 2,200 Btu/hour and Stand-Alone Medium-Temperature Units containing a flooded evaporator as of January 1, 2020.",
Stand-Alone Equipment,HFC-227ea,,N,0,"3,220",A1,"March 18, 1994; July 20, 2015","Unacceptable in: 
• new Stand-Alone Medium-Temperature Units with a compressor capacity below 2,200 Btu/hour and not containing a flooded evaporator as of January 1, 2019. 
• new Stand-Alone Medium-Temperature Units with a compressor capacity equal to or greater than 2,200 Btu/hour and Stand-Alone Medium-Temperature Units containing a flooded evaporator as of January 1, 2020. 
• new Stand-Alone Low-Temperature Units as of January 1, 2020.",
Supermarket Systems,HFC-227ea,,N,0,"3,220",A1,"March 18, 1994; July 20, 2015","Unacceptable in new equipment as of January 1, 2017.",
Centrifugal Chillers,R-424A,RS-44,R/N,0,"2,440",A1,"September 28, 2006; June 16, 2010; December 1, 2016","Unacceptable in new equipment, except as otherwise allowed under a narrowed use limit, as of January 1, 2024.",
Centrifugal Chillers,R-434A,RS-45,R/N,0,"3,250",A1,"October 4, 2007; June 16, 2010; December 1, 2016","Unacceptable in new equipment, except as otherwise allowed under a narrowed use limit, as of January 1, 2024.",
Cold Storage Warehouses,Desiccant Cooling,,N,0,N/A,N/A,"March 18, 1994; June 16, 2010",Acceptable,
Cold Storage Warehouses,Evaporative Cooling,,N,0,N/A,N/A,"March 18, 1994; June 16, 2010",Acceptable,
Cold Storage Warehouses,HFC-134a,134a,R/N,0,"1,430",A1,"March 18, 1994; June 16, 2010",Acceptable,
Cold Storage Warehouses,Pressure stepdown,,N,0,0,N/A,"March 18, 1994; June 16, 2010",Acceptable,
Commerical Ice Machines,HFC-134a,134a,N,0,"1,430",A1,"March 18, 1994; June 16, 2010",Acceptable,
Ice Skating Rinks,HFC-134a,134a,R/N,0,"1,430",A1,"March 18, 1994; June 16, 2010",Acceptable,
Industrial Process Refrigeration,Desiccant Cooling,,N,0,N/A,N/A,"March 18, 1994; June 16, 2010",Acceptable,
Industrial Process Refrigeration,Direct Nitrogen Expansion,,N,0,0,A1,"March 18, 1994; June 16, 2010",Acceptable,
Industrial Process Refrigeration,Evaporative Cooling,,N,0,N/A,N/A,"March 18, 1994; June 16, 2010",Acceptable,
Industrial Process Refrigeration,HC Blend A,OZ-12,R/N,0,3,A3,"March 18, 1994; June 16, 2010",Acceptable,
Industrial Process Refrigeration,HFC-134a,134a,R/N,0,"1,430",A1,"March 18, 1994; June 16, 2010",Acceptable,
Industrial Process Refrigeration,HFC-227ea,,N,0,"3,220",A1,"March 18, 1994; June 16, 2010",Acceptable with Use Conditions: When manufactured using any process that does not convert perfluoroisobutylene (PFIB) directly to HFC-236fa in a single step.,
Industrial Process Refrigeration,R-1270 (Propylene),,R/N,0,1.8,A3,"March 18, 1994; June 16, 2010",Acceptable,
Industrial Process Refrigeration,R-290 (Propane),,R/N,0,3,A3,"March 18, 1994; June 16, 2010",Acceptable,
Industrial Process Refrigeration,R-600 (Butane),,R/N,0,3,A3,"March 18, 1994; June 16, 2010",Acceptable,
Industrial Process Refrigeration,Stirling Cycle,,N,0,N/A,N/A,"March 18, 1994; June 16, 2010",Acceptable,
Refrigerated Transport,Direct Nitrogen Expansion,,N,0,0,A1,"March 18, 1994; June 16, 2010",Acceptable,
Refrigerated Transport,HFC-134a,134a,R/N,0,"1,430",A1,"March 18, 1994; June 16, 2010",Acceptable,
Refrigerated Transport,Stirling Cycle,,N,0,N/A,N/A,"March 18, 1994; June 16, 2010",Acceptable,
Residential Dehumidifiers,HFC-134a,134a,R/N,0,"1,430",A1,"March 18, 1994; June 16, 2010",Acceptable,
Vending Machines,Stirling Cycle,,N,0,N/A,N/A,"March 18, 1994; June 16, 2010",Acceptable,
Water Coolers,HFC-134a,134a,R/N,0,"1,430",A1,"March 18, 1994; June 16, 2010",Acceptable,
Centrifugal Chillers,R-438A,"KDD5, ISCEON MO99",R/N,0,"2,270",A1,"October 4, 2007; June 16, 2010; December 1, 2016","Unacceptable in new equipment, except as otherwise allowed under a narrowed use limit, as of January 1, 2024.",
Centrifugal Chillers,R-443A,,N,0,2.5,A3,"December 1, 2016","Unacceptable as of January 3, 2017.",
Cold Storage Warehouses,HFC-227ea,,N,0,"3,220",A1,"March 18, 1994; June 16, 2010; December 1, 2016","Unacceptable in new equipment as of January 1, 2023.",
Positive Displacement Chillers,HFC-134a,134a,R/N,0,"1,430",A1,"March 18, 1994; June 16, 2010; December 1, 2016","Unacceptable in new equipment, except as otherwise allowed under a narrowed use limit for military marine vessels and human-rated spacecraft and related support equipment, as of January 1, 2024.",Not originally listed under scroll chillers.
Positive Displacement Chillers,HFC-227ea,,N,0,"3,220",A1,"March 18, 1994; June 16, 2010; December 1, 2016","Unacceptable in new equipment, except as otherwise allowed under a narrowed use limit, as of January 1, 2024.",Not originally listed under scroll chillers.
Vending Machines,HFC-134a,134a,R/N,0,"1,430",A1,"March 18, 1994; June 16, 2010; July 20, 2015","Unacceptable in new equipment as of January 1, 2019.",
Industrial Process Refrigeration,R-404A,HP-62,R/N,0,"3,920",A1,"March 18, 1994; March 22, 2002",Acceptable,
Cold Storage Warehouses,Ammonia Vapor Compression,,N,0,0,B2,"March 18, 1994; September 5, 1996",Acceptable,
Commerical Ice Machines,Ammonia Vapor Compression,,N,0,0,B2,"March 18, 1994; September 5, 1996",Acceptable,
Refrigerated Food Processing and Dispensing Equipment,Ammonia Vapor Compression with Secondary Loop,,N,0,0,B2,"March 18, 1994; September 5, 1996",Acceptable,
Remote Condensing Units,Ammonia Vapor Compression with Secondary Loop,,N,0,0,B2,"March 18, 1994; September 5, 1996",Acceptable,
Stand-Alone Equipment,Ammonia Vapor Compression with Secondary Loop,,N,0,0,B2,"March 18, 1994; September 5, 1996",Acceptable,
Supermarket Systems,Ammonia Vapor Compression with Secondary Loop,,N,0,0,B2,"March 18, 1994; September 5, 1996",Acceptable,
Commerical Ice Machines,"R-507, R-507A",AZ-50,R/N,0,"3,990",A1,"March 18, 1994; September 5, 1996; December 20, 2002",Acceptable,
Industrial Process Refrigeration,"R-507, R-507A",AZ-50,R/N,0,"3,990",A1,"March 18, 1994; September 5, 1996; December 20, 2002",Acceptable,
Refrigerated Transport,"R-507, R-507A",AZ-50,R/N,0,"3,990",A1,"March 18, 1994; September 5, 1996; December 20, 2002",Acceptable,
Cold Storage Warehouses,"R-507, R-507A",AZ-50,R/N,0,"3,990",A1,"March 18, 1994; September 5, 1996; December 20, 2002; December 1, 2016","Unacceptable in new equipment as of January 1, 2023.",
Centrifugal Chillers,R-450A,Solstice® N-13,R/N,0,601,A1,"October 21, 2014",Acceptable,
Ice Skating Rinks,Ammonia Vapor Compression,,R/N,0,0,B2,"March 18, 1994; September 5, 1996; June 16, 2010",Acceptable,
Industrial Process Refrigeration,Ammonia Vapor Compression,,N,0,0,B2,"March 18, 1994; September 5, 1996; June 16, 2010",Acceptable,
Ice Skating Rinks,R-423A,ISCEON 39TC,R/N,0,"2,280",A1,"March 22, 2002; June 16, 2010",Acceptable,
Industrial Process Air Conditioning,R-423A,ISCEON 39TC,R/N,0,"2,280",A1,"March 22, 2002; June 16, 2010",Acceptable,
Industrial Process Refrigeration,HFE-7000,,R/N,0,575,A1,"March 22, 2002; June 16, 2010",Acceptable,
Industrial Process Refrigeration,R-423A,ISCEON 39TC,R/N,0,"2,280",A1,"March 22, 2002; June 16, 2010",Acceptable,
Non-Mechanical Heat Transfer Systems,HFE-7000,,R/N,0,575,A1,"March 22, 2002; June 16, 2010",Acceptable,
Centrifugal Chillers,R-452B,Opteon™ XL55,N,0,698,A2L,"April 28, 2023",Acceptable with Use Conditions: See rule for detailed conditions.,
Cold Storage Warehouses,R-423A,ISCEON 39TC,R/N,0,"2,280",A1,"March 22, 2002; June 16, 2010; December 1, 2016","Unacceptable in new equipment as of January 1, 2023.",
Cold Storage Warehouses,R-422B,"ICOR XAC1, NU-22B",R/N,0,"2,530",A1,"March 29, 2006; December 1, 2016","Unacceptable in new equipment as of January 1, 2023.",
Cold Storage Warehouses,R-422C,ICOR XLT1,R/N,0,"3,390",A1,"March 29, 2006; December 1, 2016","Unacceptable in new equipment as of January 1, 2023.",
Household Refrigerators and Freezers,R-125/R-290/R-134a/R-600a (55.0/1.0/42.5/1.5),ICOR AT-22,R/N,0,"2,530",A1,"March 29, 2006; December 1, 2016","Unacceptable in new equipment as of January 1, 2021.",
Household Refrigerators and Freezers,R-422B,"ICOR XAC1, NU-22B",R/N,0,"2,530",A1,"March 29, 2006; December 1, 2016","Unacceptable in new equipment as of January 1, 2021.",
Household Refrigerators and Freezers,R-422C,ICOR XLT1,R/N,0,"3,390",A1,"March 29, 2006; December 1, 2016","Unacceptable in new equipment as of January 1, 2021.",
Refrigerated Food Processing and Dispensing Equipment,R-422B,"ICOR XAC1, NU-22B",R/N,0,"2,530",A1,"March 29, 2006; December 1, 2016","Unacceptable in new equipment as of January 1, 2021.",
Stand-Alone Equipment,R-422B,"ICOR XAC1, NU-22B",R/N,0,"2,530",A1,"March 29, 2006; July 20, 2015","Unacceptable in: 
• new Stand-Alone Medium-Temperature Units with a compressor capacity below 2,200 Btu/hour and not containing a flooded evaporator as of January 1, 2019. 
• new Stand-Alone Medium-Temperature Units with a compressor capacity equal to or greater than 2,200 Btu/hour and Stand-Alone Medium-Temperature Units containing a flooded evaporator as of January 1, 2020. 
• new Stand-Alone Low-Temperature Units as of January 1, 2020.",
Ice Skating Rinks,R-125/R-290/R-134a/R-600a (55.0/1.0/42.5/1.5),ICOR AT-22,R/N,0,"2,530",A1,"March 29, 2006; June 16, 2010",Acceptable,
Ice Skating Rinks,R-422B,"ICOR XAC1, NU-22B",R/N,0,"2,530",A1,"March 29, 2006; June 16, 2010",Acceptable,
Ice Skating Rinks,R-422C,ICOR XLT1,R/N,0,"3,390",A1,"March 29, 2006; June 16, 2010",Acceptable,
Industrial Process Refrigeration,R-125/R-290/R-134a/R-600a (55.0/1.0/42.5/1.5),ICOR AT-22,R/N,0,"2,530",A1,"March 29, 2006; June 16, 2010",Acceptable,
